# Race ratings. Fill `rating` with: Safe D, Likely D, Lean D, Toss-up, Lean R, Likely R, Safe R
# (Tilt D / Tilt R and Solid D / Solid R are accepted). Leave blank rows blank. Delete sources you do not use.
# To activate: copy to data_store/manual/race_ratings_2026.csv
race_id,source,rating
H-IN-03,sabato,
H-IN-03,inside,
H-IN-04,cook,
H-IN-04,sabato,
H-IN-04,inside,
H-IN-05,cook,
H-IN-05,sabato,
H-IN-05,inside,
H-IN-06,cook,
H-IN-06,sabato,
H-IN-06,inside,
H-IN-07,cook,
H-IN-07,sabato,
H-IN-07,inside,
H-IN-08,cook,
H-IN-08,sabato,
H-IN-08,inside,
H-IN-09,cook,
H-IN-09,sabato,
H-IN-09,inside,
H-IA-01,cook,
H-IA-01,sabato,
H-IA-01,inside,
H-IA-02,cook,
H-IA-02,sabato,
H-IA-02,inside,
H-IA-03,cook,
H-IA-03,sabato,
H-IA-03,inside,
H-IA-04,cook,
H-IA-04,sabato,
H-IA-04,inside,
H-KS-01,cook,
H-KS-01,sabato,
H-KS-01,inside,
H-KS-02,cook,
H-KS-02,sabato,
H-KS-02,inside,
H-KS-03,cook,
H-KS-03,sabato,
H-KS-03,inside,
H-KS-04,cook,
H-KS-04,sabato,
H-KS-04,inside,
H-KY-01,cook,
H-KY-01,sabato,
H-KY-01,inside,
H-KY-02,cook,
H-KY-02,sabato,
H-KY-02,inside,
H-KY-03,cook,
H-KY-03,sabato,
H-KY-03,inside,
H-KY-04,cook,
H-KY-04,sabato,
H-KY-04,inside,
H-KY-05,cook,
H-KY-05,sabato,
H-KY-05,inside,
H-KY-06,cook,
H-KY-06,sabato,
H-KY-06,inside,
H-LA-01,cook,
H-LA-01,sabato,
H-LA-01,inside,
H-LA-02,cook,
H-LA-02,sabato,
H-LA-02,inside,
H-LA-03,cook,
H-LA-03,sabato,
H-LA-03,inside,
H-LA-04,cook,
H-LA-04,sabato,
H-LA-04,inside,
H-LA-05,cook,
H-LA-05,sabato,
H-LA-05,inside,
H-LA-06,cook,
H-LA-06,sabato,
H-LA-06,inside,
H-ME-01,cook,
H-ME-01,sabato,
H-ME-01,inside,
H-ME-02,cook,
H-ME-02,sabato,
H-ME-02,inside,
H-MD-01,cook,
H-MD-01,sabato,
H-MD-01,inside,
H-MD-02,cook,
H-MD-02,sabato,
H-MD-02,inside,
H-MD-03,cook,
H-MD-03,sabato,
H-MD-03,inside,
H-MD-04,cook,
H-MD-04,sabato,
H-MD-04,inside,
H-MD-05,cook,
H-MD-05,sabato,
H-MD-05,inside,
H-MD-06,cook,
H-MD-06,sabato,
H-MD-06,inside,
H-MD-07,cook,
H-MD-07,sabato,
H-MD-07,inside,
H-MD-08,cook,
H-MD-08,sabato,
H-MD-08,inside,
H-MA-01,cook,
H-MA-01,sabato,
H-MA-01,inside,
H-MA-02,cook,
H-MA-02,sabato,
H-MA-02,inside,
H-MA-03,cook,
H-MA-03,sabato,
H-MA-03,inside,
