race_id,office,state,polled,rating,blend_margin,w_hier,w_fund,w_rating,p_dem,margin_mean,margin_p10,margin_p90
H-CA-47,House,CA,True,Lean D,22.74126619885105,0.7576079054256301,0.24239209457368874,6.811836386463726e-13,0.999351771823682,22.406857,12.384844,35.233498
H-CA-48,House,CA,False,Safe R,25.740926980271627,0.11545037360314417,0.8671217182255274,0.017427908171328468,0.9710169979832901,24.669027,10.793516,39.454937
H-CA-49,House,CA,False,Lean D,33.29403758444799,0.11545037360314417,0.8671217182255274,0.017427908171328468,0.9895995390377413,32.228573,17.907703,46.4001
H-CA-50,House,CA,False,Safe D,33.759795004837834,0.11545037360314417,0.8671217182255274,0.017427908171328468,0.99533275713051,32.74395,18.846783,46.71298
H-CA-51,House,CA,False,Safe D,33.80720484538905,0.11545037360314417,0.8671217182255274,0.017427908171328468,0.9944540478248344,32.719673,18.732624,46.670902
H-CA-52,House,CA,False,Safe D,33.86583968944319,0.11545037360314417,0.8671217182255274,0.017427908171328468,0.9949726303658888,32.78477,18.720598,46.87251
H-CO-01,House,CO,False,Safe D,61.257226395986336,0.11545037360314417,0.8671217182255274,0.017427908171328468,0.9988043791414578,60.180706,49.698387,71.03341
H-CO-02,House,CO,False,Safe D,40.57335382127962,0.11545037360314417,0.8671217182255274,0.017427908171328468,0.9989052146355517,39.498775,28.94767,50.12575
H-CO-03,House,CO,True,Likely R,-10.573723838986272,0.7576079054256301,0.24239209457368874,6.811836386463726e-13,0.05682800345721694,-10.836436,-19.688507,-2.0577471
H-CO-04,House,CO,True,Safe R,-21.7957377944659,0.7576079054256301,0.24239209457368874,6.811836386463726e-13,0.0012100259291270526,-22.064592,-30.408323,-13.693601
H-CO-05,House,CO,False,Safe R,-14.377605530278304,0.11545037360314417,0.8671217182255274,0.017427908171328468,0.03236819360414866,-15.4116955,-25.936771,-4.670077
H-CO-06,House,CO,True,Safe D,22.053023862802178,0.7576079054256301,0.24239209457368874,6.811836386463726e-13,0.9990348602708153,21.78696,13.034478,30.705734
H-CO-07,House,CO,False,Lean D,15.169357404471272,0.11545037360314417,0.8671217182255274,0.017427908171328468,0.9543791414577931,14.125788,3.4406013,24.770134
H-CO-08,House,CO,True,Toss-up,3.6900354101288904,0.7576079054256301,0.24239209457368874,6.811836386463726e-13,0.732152117545376,3.4047527,-4.840995,11.158576
H-CT-01,House,CT,False,Safe D,29.20293191048151,0.11545037360314417,0.8671217182255274,0.017427908171328468,0.9982281763180639,28.218287,17.505653,38.790096
H-CT-02,House,CT,False,Toss-up,12.25323888311494,0.11545037360314417,0.8671217182255274,0.017427908171328468,0.9109046384327283,11.161343,0.5589802,21.76415
H-CT-03,House,CT,True,Likely D,17.193888816990604,0.7576079054256301,0.24239209457368874,6.811836386463726e-13,0.9947997695188706,16.900814,8.398788,25.67283
H-CT-04,House,CT,False,Safe D,31.72365217748002,0.11545037360314417,0.8671217182255274,0.017427908171328468,0.9982281763180639,30.63807,19.951494,41.370342
H-CT-05,House,CT,True,Toss-up,8.726750877408548,0.7576079054256301,0.24239209457368874,6.811836386463726e-13,0.894021895707289,8.448399,-0.20610468,17.38798
H-DE-01,House,DE,False,Likely D,22.604313928285872,0.11545037360314417,0.8671217182255274,0.017427908171328468,0.9915730337078652,21.58217,10.95898,32.159325
H-FL-01,House,FL,False,Safe R,-32.881725250199864,0.11545037360314417,0.8671217182255274,0.017427908171328468,0.0012100259291270526,-33.891567,-44.50041,-23.336132
H-FL-02,House,FL,False,Safe R,-13.002633518614894,0.11545037360314417,0.8671217182255274,0.017427908171328468,0.04825698645923365,-14.07677,-24.632137,-3.2450864
H-FL-03,House,FL,False,Safe R,-14.530158404236873,0.11545037360314417,0.8671217182255274,0.017427908171328468,0.03298761163929703,-15.559554,-26.060133,-4.696046
H-FL-04,House,FL,False,Safe R,-11.89794949816555,0.11545037360314417,0.8671217182255274,0.017427908171328468,0.06295015845577644,-12.940952,-23.47946,-2.076231
H-FL-05,House,FL,False,Safe R,-19.27811729320786,0.11545037360314417,0.8671217182255274,0.017427908171328468,0.007303370786516854,-20.382933,-30.877974,-9.569873
H-FL-06,House,FL,False,Safe R,-23.463433025068593,0.11545037360314417,0.8671217182255274,0.017427908171328468,0.0023768366464995676,-24.495207,-35.050495,-13.787082
H-FL-07,House,FL,True,Likely R,-7.330578178461858,0.7576079054256301,0.24239209457368874,6.811836386463726e-13,0.1255401901469317,-7.6208773,-16.346708,0.8520706
H-FL-08,House,FL,True,Safe R,-17.062553165080885,0.7576079054256301,0.24239209457368874,6.811836386463726e-13,0.004335926246038606,-17.34263,-26.026093,-8.829195
